Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Date_month,Date_day
3,13.4,22.9,0.6,4.2,3.8,4.0,44.0,5.0,3.0,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,7.0,16.9,21.8,0,0,12,1
3,7.4,25.1,0.0,8.0,9.9,2.0,44.0,0.0,6.0,4.0,22.0,44.0,25.0,1010.6,1007.8,4.0,1.0,17.2,24.3,0,0,12,2
3,12.9,25.7,0.0,2.0,5.8,5.0,46.0,5.0,6.0,19.0,26.0,38.0,30.0,1007.6,1008.7,8.0,2.0,21.0,23.2,0,0,12,3
3,9.2,28.0,0.0,2.8,10.1,11.0,24.0,13.0,14.0,11.0,9.0,45.0,16.0,1017.6,1012.8,0.0,2.0,18.1,26.5,0,0,12,4
3,17.5,32.3,1.0,1.2,9.5,4.0,41.0,12.0,0.0,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,8.0,17.8,29.7,0,0,12,5
3,14.6,29.7,0.2,4.0,9.5,2.0,56.0,5.0,4.0,19.0,24.0,55.0,23.0,1009.2,1005.4,0.0,2.0,20.6,28.9,0,0,12,6
3,14.3,25.0,0.0,3.6,7.8,4.0,50.0,7.0,4.0,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,1.0,18.1,24.6,0,0,12,7
3,7.7,26.7,0.0,7.0,2.7,4.0,35.0,11.0,4.0,6.0,17.0,48.0,19.0,1013.4,1010.1,4.0,1.0,16.3,25.5,0,0,12,8
3,9.7,31.9,0.0,4.0,10.7,0.0,70.0,13.0,0.0,7.0,28.0,42.0,9.0,1008.9,1003.6,7.0,1.0,18.3,30.2,0,1,12,9
3,13.1,30.1,1.4,2.8,10.5,4.0,28.0,10.0,12.0,15.0,11.0,58.0,27.0,1007.0,1005.7,1.0,7.0,20.1,28.2,1,0,12,10
