Country Code,Country,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
1,3,4053,26,78.054222,30.332735,41,550,4,0,0,0,3,3.8,5,2,5.442417710521793
1,3,4699,26,78.049117,30.328174,13,500,4,0,0,0,3,4.0,1,5,4.553876891600541
1,3,1351,26,78.04026667,30.31952778,49,600,4,0,0,0,3,3.9,5,2,4.804021044733257
1,3,2276,33,77.304776,28.4901567,41,500,4,0,0,0,2,2.8,2,0,2.833213344056216
1,3,3218,33,77.305563,28.4901368,40,150,4,0,0,0,1,2.8,2,0,2.1972245773362196
1,3,3345,33,77.3061016,28.4900979,40,150,4,0,0,0,1,2.9,2,0,2.1972245773362196
1,3,3350,33,77.3057446,28.490062,4,100,4,0,0,0,1,2.8,2,0,2.0794415416798357
1,3,113,33,77.30274167,28.49629167,36,100,4,0,0,0,1,0.0,4,3,0.6931471805599453
1,3,2176,33,77.303542,28.4959154,40,100,4,0,0,0,1,0.0,4,3,1.3862943611198906
1,3,4218,33,77.3000877,28.4262842,13,300,4,0,0,0,1,0.0,4,3,0.0
1,3,672,33,77.2905651,28.4946638,27,300,4,0,0,0,1,2.9,2,0,1.6094379124341003
1,3,1709,33,77.2905276,28.4946804,58,350,4,0,0,0,1,3.0,2,0,2.0794415416798357
1,3,2285,33,77.2918292,28.4922473,26,300,4,0,0,0,1,2.9,2,0,2.4849066497880004
1,3,77,33,77.2918292,28.4990636,40,200,4,0,0,0,1,0.0,4,3,0.6931471805599453
1,3,3248,33,77.292431,28.4923251,40,400,4,0,0,0,1,0.0,4,3,0.0
1,3,2199,33,77.3074479,28.4698631,49,600,4,0,1,0,2,2.8,2,0,3.912023005428146
1,3,2592,33,77.3074479,28.4695043,25,500,4,0,0,0,2,3.4,2,0,4.07753744390572
1,3,480,33,77.3072684,28.4700256,19,1100,4,0,1,0,3,3.8,5,2,6.2324480165505225
1,3,1376,33,77.3074031,28.4693655,11,600,4,0,1,0,2,3.6,5,2,4.59511985013459
1,3,453,33,77.3074479,28.469594,21,300,4,0,0,0,1,0.0,4,3,0.0
1,3,3176,33,77.3074031,28.4693655,23,200,4,0,0,0,1,0.0,4,3,0.6931471805599453
1,3,3975,33,77.3074928,28.4700019,2,500,4,0,0,0,2,0.0,4,3,1.0986122886681098
1,3,445,33,77.3073785,28.4698629,40,1600,4,0,0,0,3,4.0,1,5,5.703782474656201
1,3,4714,33,77.3074031,28.4693655,16,1300,4,0,1,0,3,4.1,1,5,5.480638923341991
1,3,1659,33,77.3130127,28.3980691,31,400,4,0,0,0,1,3.2,2,0,2.833213344056216
1,3,2703,33,77.3130127,28.3979794,23,200,4,0,1,0,1,2.7,2,0,2.833213344056216
1,3,3744,33,77.3128332,28.397424,62,800,4,0,1,0,2,3.4,2,0,3.8918202981106265
1,3,2029,33,77.294319,28.4937692,59,200,4,0,0,0,1,0.0,4,3,1.3862943611198906
1,3,1647,33,77.3139102,28.3868454,22,250,4,0,0,0,1,2.8,2,0,2.5649493574615367
1,3,2508,33,77.3140449,28.3869029,23,200,4,0,0,0,1,0.0,4,3,1.0986122886681098
1,3,4133,33,77.3066401,28.4722089,13,1500,4,0,0,0,3,0.0,4,3,0.0
1,3,428,33,77.3153578,28.4534629,36,100,4,0,0,0,1,0.0,4,3,1.0986122886681098
1,3,948,33,77.2900667,28.3954463,40,300,4,0,0,0,1,0.0,4,3,0.0
